topic_id,timestamp,bin_start,bin_end,frequency,growth_velocity,semantic_velocity,keywords
29,2020-09-26 12:00:00.000000,2020-09-17 00:00:00.000000,2020-10-06,0.0009090909090909,0.0009090909090909,0.4114481210708618,"wednesday, markets, kate, howitt, wrap"
29,2020-10-16 00:00:00.000000,2020-10-06 00:00:00.000000,2020-10-26,0.0004242681374628,-0.00048438242396994547,0.4114481210708618,"markets, wednesday, clark, clarke, wrap"
29,2020-11-23 12:00:00.000000,2020-11-14 00:00:00.000000,2020-12-03,0.0008591065292096,0.0008591065292096,0.6781623363494873,"wednesday, mondays"
29,2020-12-13 12:00:00.000000,2020-12-03 00:00:00.000000,2020-12-24,0.0,-0.0008583690987124243,0.6781623363494873,"markets, wednesday, clark, clarke, wrap"
31,2019-08-20 00:00:00.000000,2019-08-08 00:00:00.000000,2019-09-01,0.0058061634658329,-0.0010128613712235936,0.3202134370803833,"wednesday, tuesday, thursday, monday, friday"
31,2019-12-23 00:00:00.000000,2019-12-07 00:00:00.000000,2020-01-08,0.0008474576271186,0.0008474576271186,0.8869887590408325,"singing, grandfather, drumming, drum"
31,2020-01-22 00:00:00.000000,2020-01-08 00:00:00.000000,2020-02-05,0.0008620689655172,1.4598966393181975e-05,0.9544721245765686,"wednesday, tuesday"
31,2020-09-07 00:00:00.000000,2020-08-28 00:00:00.000000,2020-09-17,0.0066694456023343,0.0013171933439258467,0.4597814083099365,"september, drum, monday, wednesday, tuesday"
31,2020-09-26 12:00:00.000000,2020-09-17 00:00:00.000000,2020-10-06,0.0059090909090909,-0.0007553171466214972,0.39570266008377075,"september, october, tuesday, monday, friday"
32,2020-05-17 12:00:00.000000,2020-05-08 00:00:00.000000,2020-05-27,0.0008884940026654,0.0008884940026654,0.9210679531097412,"urges, tested, serkis, retested, people"
32,2020-06-05 12:00:00.000000,2020-05-27 00:00:00.000000,2020-06-15,0.0008514261387824,-3.703495854444427e-05,0.8330755829811096,"putt, morikawa, misses, heartbreaking, coilin"
32,2020-06-24 00:00:00.000000,2020-06-15 00:00:00.000000,2020-07-03,0.0012744265080713,0.0004226405221010745,0.7892006635665894,"looks, casey, briggs, analyst, abc"
32,2020-07-12 12:00:00.000000,2020-07-03 00:00:00.000000,2020-07-22,0.0013537906137184,7.926309066324707e-05,0.6565742492675781,"coronavirus, looks, analyst, weekend, usa"
32,2020-08-01 00:00:00.000000,2020-07-22 00:00:00.000000,2020-08-11,0.0,-0.0013519603424966085,0.4479460120201111,"briggs, casey, covid, looks, analyst"
32,2020-09-07 00:00:00.000000,2020-08-28 00:00:00.000000,2020-09-17,0.0008336807002917,0.00038807354058550584,0.6582649350166321,"september, latest, covid, analysis, victorias"
32,2020-09-26 12:00:00.000000,2020-09-17 00:00:00.000000,2020-10-06,0.0018181818181818,0.00098368104199015,0.43524080514907837,"coronavirus, pandemic, covid, looks, happen"
32,2020-10-16 00:00:00.000000,2020-10-06 00:00:00.000000,2020-10-26,0.0004242681374628,-0.0013913838918247733,0.6114537715911865,"briggs, casey, covid, looks, analyst"
32,2020-11-04 12:00:00.000000,2020-10-26 00:00:00.000000,2020-11-14,0.0008613264427217,0.0004368729539844052,0.7882566452026367,"sites, path, lists, kerry, joe"
32,2020-11-23 12:00:00.000000,2020-11-14 00:00:00.000000,2020-12-03,0.0012886597938144,0.0004269655943361658,0.9644445776939392,"numbers, latest, looks, americas, south"
32,2020-12-13 12:00:00.000000,2020-12-03 00:00:00.000000,2020-12-24,0.000438596491228,-0.0008489692700219388,0.8476772308349609,"briggs, casey, covid, looks, analyst"
32,2021-01-06 00:00:00.000000,2020-12-24 00:00:00.000000,2021-01-19,0.0008920606601248,0.0004532653682966699,0.8714495301246643,"lidcombe, clinics, additional, linked, cluster"
32,2021-01-29 12:00:00.000000,2021-01-19 00:00:00.000000,2021-02-09,0.0012776831345826,0.0003852787824128288,0.9118013381958008,"provides, latest, information, social, media"
32,2021-02-18 12:00:00.000000,2021-02-09 00:00:00.000000,2021-02-28,0.0,-0.001276052743513375,0.8475061655044556,"briggs, casey, covid, looks, analyst"
32,2021-07-13 00:00:00.000000,2021-06-08 00:00:00.000000,2021-08-17,0.0139190952588081,0.011266014329216877,0.3511543869972229,"casey, briggs, covid, analyst, breaks"
32,2021-09-19 00:00:00.000000,2021-08-17 00:00:00.000000,2021-10-22,0.0100436681222707,-0.003822225219605098,0.34043818712234497,"briggs, casey, analyst, covid, data"
32,2021-11-26 00:00:00.000000,2021-10-22 00:00:00.000000,2021-12-31,0.0026052974381241,-0.0073644050439670185,0.4847538471221924,"takes, look, covid, abc, analyst"
33,2019-11-25 00:00:00.000000,2019-11-13 00:00:00.000000,2019-12-07,0.0017833259028087,0.0017833259028087,0.6970841884613037,"wednesday, tuesday, thursday, friday"
33,2020-01-22 00:00:00.000000,2020-01-08 00:00:00.000000,2020-02-05,0.0,-0.0042194092827004025,0.6690667867660522,"december, drum, suez, canal, monday"
33,2020-12-13 12:00:00.000000,2020-12-03 00:00:00.000000,2020-12-24,0.0043859649122807,0.003954712887844352,0.6700525283813477,"monday, wednesday, thursday, friday, tuesday"
33,2021-01-06 00:00:00.000000,2020-12-24 00:00:00.000000,2021-01-19,0.0,-0.004366812227074234,0.6700525283813477,"december, drum, suez, canal, monday"
33,2021-04-30 12:00:00.000000,2021-03-23 00:00:00.000000,2021-06-08,0.0065588106689986,0.0065588106689986,0.5491398572921753,"canal, ship, container, given, stuck"
33,2021-07-13 00:00:00.000000,2021-06-08 00:00:00.000000,2021-08-17,0.0004349717268377,-0.0060839355606959085,0.5491398572921753,"december, drum, suez, canal, monday"
34,2019-11-01 12:00:00.000000,2019-10-21 00:00:00.000000,2019-11-13,0.0026315789473684,0.0005340233428760071,0.5207036137580872,"stories, watch, make, claim, allen"
34,2019-11-25 00:00:00.000000,2019-11-13 00:00:00.000000,2019-12-07,0.0004458314757021,-0.002180010601661927,0.5207036137580872,stories
36,2019-03-28 00:00:00.000000,2019-03-16 00:00:00.000000,2019-04-09,0.0046788600595491,0.0046788600595491,0.6110321283340454,"march, wednesday, tuesday, monday, friday"
36,2019-04-21 00:00:00.000000,2019-04-09 00:00:00.000000,2019-05-03,0.0021939447125932,-0.002473342921546707,0.556307852268219,"april, wednesday, morning, briefing, tuesday"
36,2020-04-05 00:00:00.000000,2020-03-24 00:00:00.000000,2020-04-17,0.0017444395987788,0.0017444395987788,0.6066389679908752,"wednesday, tuesday, thursday, friday"
36,2020-09-07 00:00:00.000000,2020-08-28 00:00:00.000000,2020-09-17,0.0004168403501458,-0.001362469281424026,0.5954168438911438,"morning, briefing, tuesday, wednesday, friday"
36,2021-11-26 00:00:00.000000,2021-10-22 00:00:00.000000,2021-12-31,0.0008684324793747,0.0008684324793747,0.812691330909729,days
37,2019-07-27 00:00:00.000000,2019-07-15 00:00:00.000000,2019-08-08,0.0008532423208191,-0.0004919905317626209,0.49665141105651855,"mix, tucker, man, bush"
37,2019-08-20 00:00:00.000000,2019-08-08 00:00:00.000000,2019-09-01,0.0004466279589102,-0.0004062677170990884,0.49665141105651855,"episode, mix"
37,2019-09-13 00:00:00.000000,2019-09-01 00:00:00.000000,2019-09-25,0.0012992637505413,0.0008522551506526935,0.3028557300567627,mix
37,2019-10-08 00:00:00.000000,2019-09-25 00:00:00.000000,2019-10-21,0.00083857442348,-0.0004600915467926219,0.3028557300567627,"episode, mix"
38,2019-03-04 00:00:00.000000,2019-02-20 00:00:00.000000,2019-03-16,0.0012804097311139,0.0012804097311139,0.5952445268630981,"sydney, style, revellers, kicks, gather"
38,2019-03-28 00:00:00.000000,2019-03-16 00:00:00.000000,2019-04-09,0.0,-0.0012787723785165678,0.5952445268630981,"sydney, covid, parade, pride, police"
38,2020-03-11 12:00:00.000000,2020-02-28 00:00:00.000000,2020-03-24,0.0021551724137931,0.0017085791997050416,0.5654115676879883,"sydney, expect, party, gay, lesbian"
38,2020-04-05 00:00:00.000000,2020-03-24 00:00:00.000000,2020-04-17,0.0,-0.0021505376344085987,0.5654115676879883,"sydney, covid, parade, pride, police"
38,2020-11-04 12:00:00.000000,2020-10-26 00:00:00.000000,2020-11-14,0.0008613264427217,0.0008613264427217,0.5583779215812683,"scg, parade, covid, pandemic, coronavirus"
38,2020-11-23 12:00:00.000000,2020-11-14 00:00:00.000000,2020-12-03,0.0,-0.0008605851979345042,0.5583779215812683,"sydney, covid, parade, pride, police"
38,2021-03-11 12:00:00.000000,2021-02-28 00:00:00.000000,2021-03-23,0.0043782837127845,0.0043782837127845,0.39815038442611694,"sydney, covid, street, oxford, scg"
38,2021-04-30 12:00:00.000000,2021-03-23 00:00:00.000000,2021-06-08,0.0,-0.0043591979075849165,0.39815038442611694,"sydney, covid, parade, pride, police"
39,2019-04-21 00:00:00.000000,2019-04-09 00:00:00.000000,2019-05-03,0.0008775778850372,2.6853211951777918e-05,0.6981534957885742,"wednesday, tuesday"
39,2019-05-14 12:00:00.000000,2019-05-03 00:00:00.000000,2019-05-26,0.0013163668275559,0.0004384042086804547,0.759648859500885,"friday, eleanor, creagh, speaks, rodda"
39,2019-06-07 12:00:00.000000,2019-05-26 00:00:00.000000,2019-06-20,0.000842815002107,-0.00047292927703682856,0.3747444748878479,"tuesday, rodda, monday, kyle, eleanor"
39,2019-08-20 00:00:00.000000,2019-08-08 00:00:00.000000,2019-09-01,0.0004466279589102,-0.001257710419213983,0.3689584732055664,"markets, eleanor, creagh, friday, rodda"
39,2019-11-01 12:00:00.000000,2019-10-21 00:00:00.000000,2019-11-13,0.0008771929824561,0.0004577138571491613,0.3730771541595459,"rodda, monday, kyle, friday, eleanor"
39,2019-12-23 00:00:00.000000,2019-12-07 00:00:00.000000,2020-01-08,0.0,-0.000890868596881891,0.3925858736038208,"markets, eleanor, creagh, friday, rodda"
39,2020-04-05 00:00:00.000000,2020-03-24 00:00:00.000000,2020-04-17,0.0008722197993894,0.0008722197993894,0.4218611717224121,"rodda, kyle, eleanor, creagh"
