model,topic_id,top_words
BERTopic,235,"whistleblower, ato, whistleblowers, boyle, clubsnsw, murdoch, richard, sues, jordan, complaint"
BERTopic,236,"huawei, huaweis, contract, ban, cell, spying, wanzhou, smartphone, technologies, meng"
BERTopic,237,"cambodia, cambodian, khmer, rouge, vietnamese, chau, vietnam, opposition, kham, sokha"
BERTopic,238,"porter, christian, allegation, porters, attorney, historical, accuser, rape, corners, general"
BERTopic,239,"surf, surfer, surfers, surfboard, surfboards, lifesavers, surfing, lifesaving, paulownia, macaulay"
BERTopic,240,"swan, norman, looks, explains, examines, some, countering, aspects, underrecruited, confusion"
BERTopic,241,"astrazeneca, clots, blood, clot, clotting, advice, cmo, confusion, linked, atagi"
BERTopic,242,"jacinda, ardern, zealand, arderns, gayford, achievements, muller, todd, herm, galloway"
BERTopic,243,"tax, cuts, budget, income, cut, gst, spending, federal, boost, government"
BERTopic,244,"mental, health, anxiety, survey, increse, reacting, psychosis, antidepressant, anxieties, satisfied"
BERTopic,245,"ginsburg, bader, ruth, coney, barrett, supreme, amy, justice, nominee, ginsburgs"
BERTopic,246,"veterans, rsl, veteran, vietnam, soldiers, soldier, war, normandy, wwi, affairs"
BERTopic,247,"stone, pardon, pardons, flynn, roger, manafort, donald, trump, adviser, pardoned"
BERTopic,248,"boeing, max, airlines, faa, pilots, boeings, production, ethiopian, planes, crashes"
BERTopic,249,"typhoon, hagibis, philippines, japan, haishen, goni, faxai, vamco, vongfong, rwc"
BERTopic,250,"cane, frog, toad, toads, frogs, booroolong, burrowing, endangered, baw, innes"
BERTopic,251,"gold, coast, schoolies, lights, dora, coasts, theme, curious, onslaught, gambit"
BERTopic,252,"tiktok, videos, triller, immorality, compilation, users, app, content, egyptian, privacy"
BERTopic,253,"airport, sydney, western, airports, screening, rezoning, land, delays, kay, overcrowding"
BERTopic,254,"ufc, fury, deontay, boxing, tyson, wilder, heavyweight, volkanovski, mcgregor, joshua"
BERTopic,255,"adani, carmichael, approval, mine, galilee, environmental, approvals, coal, pennings, siemens"
BERTopic,256,"transgender, conversion, rowling, gay, gender, lgbt, lgbtqi, acceptance, therapy, lgbtiq"
BERTopic,257,"taiwan, taiwans, china, wen, ing, tsai, taiwanese, joseph, foreign, cooperation"
BERTopic,258,"measles, samoa, outbreak, immunisation, vaccination, samoan, vaxxers, epidemic, healing, anti"
BERTopic,259,"mascot, towers, cracks, owners, boeing, eiffel, repair, building, evacuated, qantas"
BERTopic,260,"dingo, dingoes, fence, fraser, dingos, pure, island, alpine, toddler, stepped"
BERTopic,261,"everest, himalayas, climbers, nepal, avalanche, mount, bodies, himalayan, gilian, mccance"
BERTopic,262,"trioli, virginia, millar, reads, breakfast, lisa, weekend, rowland, presents, abc"
BERTopic,263,"federal, government, governments, baillieu, kinds, mister, neccessary, disagreements, goernment, scrutiny"
BERTopic,264,"pictures, talking, , , , , , , , "
BERTopic,265,"netflix, disney, sbs, tubi, stan, streaming, films, mulan, scorsese, remake"
BERTopic,266,"dashcam, dash, cam, cameras, footage, cctv, drivers, captures, camera, speed"
BERTopic,267,"italy, italys, milan, naples, epicentre, lockdown, toll, curfew, giordano, turin"
BERTopic,268,"volcano, erupts, eruption, palma, lava, stromboli, sinabung, spews, ash, canary"
BERTopic,269,"fines, disobey, issue, infringements, directions, enforce, breaches, police, compliance, isolating"
BERTopic,270,"uluru, climb, closure, kata, tjuta, mutitjulu, tourism, closed, permanently, traditional"
BERTopic,271,"vaping, smoking, cigarettes, nicotine, cigarette, shisha, smokers, tobacco, import, liquids"
BERTopic,272,"norman, swan, looks, explains, vaccine, normal, latest, foetus, coronacast, rollout"
BERTopic,273,"humphries, mark, satirist, looks, cautionary, governments, tale, wedande, endorsement, smartening"
BERTopic,274,"christmas, lunch, westfield, shopping, elf, crush, cheer, holiday, chillies, cheery"
BERTopic,275,"euthanasia, voluntary, debate, legalise, laws, legislation, referendum, passed, votes, passes"
BERTopic,276,"charity, charities, donations, philanthropy, volunteering, digger, money, fortunate, powderfinger, raise"
BERTopic,277,"hobart, hobarts, hobartians, curious, briefing, wishy, austins, watchmaking, washy, city"
BERTopic,278,"vandalised, statue, memorial, vandalism, gogh, dutch, cemetery, colonial, swastikas, vandals"
BERTopic,279,"stimulus, package, trillion, aid, billion, gfc, households, government, economic, relief"
BERTopic,280,"pelosi, nancy, impeachment, donald, trump, schumer, representatives, inquiry, accuses, democrats"
BERTopic,281,"wall, mexico, border, seesaws, trump, address, build, immigration, compromise, migrant"
BERTopic,282,"shorten, morrison, bill, federal, scott, election, shortens, debate, whitlam, minsitry"
BERTopic,283,"shooting, paso, texas, gunman, virginia, dead, shooter, shootings, ohio, injured"
BERTopic,284,"pig, pigs, feral, hoofless, piglet, peppa, guts, bait, wangaratta, hunters"
BERTopic,285,"kamala, harris, joe, biden, vice, presidential, vogue, pick, democratic, president"
BERTopic,286,"radio, abc, broadcast, sammy, painfully, celebrating, heywire, breakfast, avice, coodabeen"
BERTopic,287,"kashmir, pakistan, india, indian, tension, pilot, modi, terrorism, kills, indias"
BERTopic,288,"netanyahu, benjamin, israel, israels, israeli, corruption, indicted, coalition, secure, netanyahus"
BERTopic,289,"hakeem, araibi, alaraibi, foster, bahrain, craig, fifa, socceroo, thai, refugee"
BERTopic,290,"trudeau, justin, canadian, brownface, expels, ministers, canadas, canadians, nato, ethics"
BERTopic,291,"climate, change, inaction, pacific, striker, quiet, torres, australians, wreaking, strides"
